datetime;cartPos;cartVel;pendPos;pendVel;action;cartController;exploration
2018-05-26 10:23:15.011;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.014;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.024;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.044;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.064;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.084;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.104;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.124;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.144;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.164;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.184;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.204;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.224;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.244;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.264;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.284;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.304;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.324;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.344;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.364;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.384;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.404;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.424;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.444;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.464;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.484;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.504;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.524;90,38;0,00;180;0;0,00;CartControllerGamepad;0
2018-05-26 10:23:15.544;90,38;0,00;180;0;0,00;CartControllerGamepad;0
